,Firstauthor_Year,Publication_Year,Study_Country,Continent,title,article.id,Study_Species,n_effect_sizes
1,Cox2007,2007,United States of America,North America,"Home range and survival characteristics of male Bachman's Sparrows in an old-growth forest managed with breeding season burns
",9,Aimophila aestivalis,1
2,Kelt2014,2014,United States of America,North America,"Home range size and habitat selection of reintroduced <i>Sylvilagus</i> <i>bachmani</i> <i>riparius</i>
",10,Sylvilagus bachmani riparius,1
3,Flaherty2020,2020,United States of America,North America,"HABITAT SELECTION AND MOVEMENT PATTERNS OF COPPERHEADS (<i>AGKISTRODON CONTORTRIX</i>) IN FIRE-ALTERED LANDSCAPES
",13,Agkistrodon contortrix,2
4,Kortner2007,2007,Australia,Oceania,"Spatial ecology of the mulgara in arid Australia:: impact of fire history on home range size and burrow use
",14,Dasycercus blythi,1
5,Michael2014,2014,Australia,Oceania,"The effects of prey, habitat heterogeneity and fire on the spatial ecology of peninsular Diamond Pythons (<i>Morelia spilota spilota</i>: Pythonidae)
",17,Morelia spilota spilota,NA
6,Povh2023,2023,Australia,Oceania,"A conservation-significant threatened mammal uses fire exclusions and shifts ranges in the presence of prescribed burning
",19,Setonix brachyurus,NA
7,Rota2014,2014,United States of America,North America,"Space-use and habitat associations of Black-backed Woodpeckers (<i>Picoides arcticus</i>) occupying recently disturbed forests in the Black Hills, South Dakota
",30,Picoides arcticus,NA
8,Jansen2000,2000,South Africa,Africa,"Habitat utilization and home range of the redwing francolin, <i>Francolinus levaillantii</i>, in highland grasslands, Mpumalanga province, South Africa
",32,Francolinus levaillantii,1
9,MacGregor2013,2013,Australia,Oceania,"Home range size and use by the long-nosed bandicoot (<i>Perameles nasuta</i>) following fire
",33,Perameles nasuta,NA
10,Law2013,2013,Australia,Oceania,"Response of eastern pygmy possums, <i>Cercartetus nanus</i>, to selective logging in New South Wales: home range, habitat selection and den use
",44,Cercartetus nanus,NA
11,Dalerum2007,2007,Canada,North America,"Wildfire effects on home range size and fidelity of boreal caribou in Alberta, Canada
",58,Rangifer tarandus caribou,3
12,Hope2012,2012,Australia,Oceania,"Short-term response of the long-nosed bandicoot, <i>Perameles nasuta</i>, and the southern brown bandicoot, <i>Isoodon obesulus obesulus</i>, to low-intensity prescribed fire in heathland vegetation
",67,Perameles nasuta,1
13,Kreling2021,2021,United States of America,North America,"Site fidelity and behavioral plasticity regulate an ungulate's response to extreme disturbance
",69,Odocoileus hemionus columbianus,8
